==============================================================================
==============================================================================
Thu. Oct. 20 2016                  LANDSAT 5                       Time: 21:21
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610196671_01358                          Path / Row - 231 / 62
Reference Image: L51CUB1009253130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2310620922   -2.28805    -61.03064     0.24     -0.20     0.31     1 
2310620923   -2.28801    -61.00260    -0.18     -0.11     0.21     1 
2310620924   -2.28797    -60.97455    -0.12     -0.10     0.16     1 
2310620927   -2.28785    -60.89043    -0.17     -0.14     0.22     1 
2310620928   -2.28781    -60.86239    -0.13      0.04     0.14     1 
2310620929   -2.28777    -60.83434     0.16      0.10     0.19     1 
2310620930   -2.28772    -60.80630    -0.18     -0.06     0.19     1 
2310620931   -2.28768    -60.77826    -0.09     -0.08     0.12     1 
2310620932   -2.28764    -60.75023    -0.13     -0.08     0.15     1 
2310620933   -2.28759    -60.72219    -0.08     -0.18     0.20     1 
2310620934   -2.28755    -60.69415    -0.08     -0.15     0.17     1 
2310620935   -2.28750    -60.66611    -0.06     -0.09     0.10     1 
2310620936   -2.28745    -60.63807    -0.16     -0.10     0.18     1 
2310620937   -2.28741    -60.61004    -0.09     -0.10     0.14     1 
2310620944   -2.28707    -60.41380    -0.02      0.02     0.03     1 
2310620945   -2.28701    -60.38576     0.17      0.02     0.17     1 
2310620946   -2.28696    -60.35773     0.02      0.02     0.03     1 
2310620947   -2.28691    -60.32970    -0.08     -0.00     0.08     1 
2310620960   -2.28618    -59.96537    -0.03      0.08     0.09     1 
2310620961   -2.28612    -59.93735    -0.11      0.05     0.12     1 
2310620962   -2.28606    -59.90933     0.01      0.03     0.03     1 
2310620964   -2.28594    -59.85329    -0.04     -0.04     0.05     1 
2310620967   -2.28575    -59.76924    -0.09      0.10     0.14     1 
2310620969   -2.28562    -59.71321     0.07      0.03     0.08     1 
2310620970   -2.28556    -59.68519    -0.02      0.23     0.23     1 
2310620993   -2.31316    -61.14279    -0.17      0.00     0.17     1 
2310620994   -2.31312    -61.11474    -0.07      0.00     0.07     1 
2310620995   -2.31308    -61.08670    -0.11     -0.08     0.14     1 
2310620997   -2.31301    -61.03061    -0.10     -0.19     0.22     1 
2310620998   -2.31297    -61.00256    -0.20     -0.23     0.30     1 
2310621001   -2.31284    -60.91843    -0.17     -0.16     0.23     1 
2310621002   -2.31280    -60.89039    -0.13     -0.12     0.18     1 
2310621003   -2.31276    -60.86235    -0.15     -0.08     0.17     1 
2310621004   -2.31272    -60.83431     0.02     -0.30     0.30     1 
2310621005   -2.31268    -60.80627    -0.15     -0.04     0.16     1 
2310621006   -2.31263    -60.77823    -0.18     -0.05     0.19     1 
2310621007   -2.31259    -60.75019    -0.12      0.02     0.12     1 
2310621008   -2.31254    -60.72215    -0.06      0.06     0.09     1 
2310621009   -2.31250    -60.69411    -0.15     -0.06     0.17     1 
2310621010   -2.31245    -60.66607    -0.04     -0.01     0.04     1 
2310621011   -2.31240    -60.63803     0.03      0.11     0.11     1 
2310621012   -2.31236    -60.60999     0.02      0.02     0.03     1 
2310621013   -2.31231    -60.58196     0.04      0.03     0.05     1 
2310621019   -2.31201    -60.41375    -0.12     -0.04     0.12     1 
2310621020   -2.31196    -60.38572     0.05     -0.04     0.06     1 
2310621021   -2.31191    -60.35769    -0.04     -0.05     0.06     1 
2310621022   -2.31185    -60.32966    -0.14     -0.05     0.15     1 
2310621023   -2.31180    -60.30163    -0.07     -0.07     0.09     1 
2310621035   -2.31112    -59.96531     0.10     -0.00     0.10     1 
2310621036   -2.31106    -59.93729    -0.08      0.03     0.09     1 
2310621037   -2.31100    -59.90927    -0.08      0.01     0.08     1 
2310621038   -2.31093    -59.88125     0.03      0.01     0.03     1 
2310621067   -2.33815    -61.17081    -0.14     -0.26     0.29     1 
2310621068   -2.33812    -61.14276    -0.05     -0.18     0.19     1 
2310621069   -2.33808    -61.11471    -0.06     -0.11     0.12     1 
2310621070   -2.33804    -61.08666     0.09      0.01     0.10     1 
2310621073   -2.33792    -61.00253     0.15     -0.25     0.29     1 
2310621074   -2.33788    -60.97448     0.04     -0.12     0.13     1 
2310621076   -2.33780    -60.91840    -0.14     -0.12     0.18     1 
2310621077   -2.33776    -60.89035    -0.04     -0.08     0.09     1 
2310621078   -2.33771    -60.86231    -0.11     -0.16     0.20     1 
2310621080   -2.33763    -60.80623    -0.09     -0.16     0.19     1 
2310621081   -2.33758    -60.77819    -0.17     -0.04     0.18     1 
2310621082   -2.33754    -60.75015    -0.17     -0.02     0.17     1 
2310621083   -2.33749    -60.72211    -0.07     -0.04     0.07     1 
2310621084   -2.33745    -60.69407     0.06     -0.09     0.11     1 
2310621085   -2.33740    -60.66603     0.02     -0.07     0.07     1 
2310621086   -2.33735    -60.63799    -0.01     -0.00     0.01     1 
2310621087   -2.33730    -60.60995    -0.07      0.05     0.08     1 
2310621088   -2.33726    -60.58192    -0.04      0.02     0.05     1 
2310621089   -2.33721    -60.55388     0.09     -0.11     0.14     1 
2310621095   -2.33690    -60.38567     0.09      0.09     0.12     1 
2310621097   -2.33680    -60.32961    -0.05     -0.07     0.09     1 
2310621098   -2.33674    -60.30158    -0.05     -0.12     0.13     1 
2310621100   -2.33663    -60.24552    -0.13     -0.13     0.19     1 
2310621110   -2.33605    -59.96526    -0.00      0.08     0.08     1 
2310621111   -2.33599    -59.93724    -0.03      0.08     0.09     1 
2310621112   -2.33593    -59.90922    -0.15      0.05     0.16     1 
2310621113   -2.33587    -59.88120    -0.07      0.03     0.07     1 
2310621114   -2.33580    -59.85318    -0.12      0.03     0.13     1 
2310621115   -2.33574    -59.82516    -0.12      0.07     0.14     1 
2310621116   -2.33568    -59.79714    -0.03      0.08     0.08     1 
2310621121   -2.33535    -59.65706     0.06     -0.02     0.06     1 
2310621141   -2.36315    -61.19882    -0.11     -0.15     0.19     1 
