Thu. Oct. 20, 2016             LANDSAT 5                 Time: 16:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20592208            Path/Row: 231 / 062

L0R Reference Image: L51CUB1009253130101_HDF.162941603
Acquisition Date: Sep 10, 2009

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
231   062   08-11-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2310620138_01   -3.041171  -60.024180    58.047       6.579    -3.433     7.015    -2.441
2310620139_01   -3.378822  -60.181529    13.641       4.007    -3.042     4.412    -2.427
2310620140_01   -2.777220  -60.782015     4.837       0.165     3.592    -0.360     3.580
2310620141_01   -2.808494  -60.084098     9.063      -0.491     3.742    -1.031     3.634
2310620142_01   -2.742186  -60.015795    40.106       0.423     2.140     0.108     2.181
2310620143_01   -2.679068  -59.713851    23.799       3.957     0.831     3.800     1.399
2310620144_01   -3.662517  -60.812762     6.328      -1.040     0.675    -1.128     0.516
2310620145_01   -2.775122  -59.964499    61.212       4.410     2.839     3.954     3.454
2310620146_01   -3.026410  -60.179797     7.122       0.035     2.681    -0.355     2.660
2310620147_01   -2.817028  -60.486893    11.660      -1.684     3.141    -2.124     2.864
2310620148_01   -3.178267  -60.749914     7.810       0.656    -0.149     0.670    -0.052
2310620149_01   -2.972265  -60.002260    32.719       1.455    -2.124     1.751    -1.892
2310620150_01   -3.103935  -60.280994     9.968       0.265    -4.421     0.907    -4.338
2310620152_01   -3.253117  -60.631301    13.038       2.100     0.906     1.946     1.203
2310620153_01   -3.242460  -60.836389     8.081      -0.677    -2.971    -0.237    -3.039
2310620154_01   -2.620200  -60.946544    12.574       2.781    -2.236     3.077    -1.808
2310620155_01   -3.614499  -60.129562     9.080      -0.106    -0.241    -0.069    -0.254
2310620156_01   -3.487883  -60.601857     6.898       1.982    -0.122     1.979     0.168
